field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
oms2chemosame,other_medical_surgical_treatments_ii,,checkbox,,"1, a. For the cancer associated with your thoracic surgery",,,,,,"[oms2chemoyn] = '1'",,,,,,
oms2chemodiff,other_medical_surgical_treatments_ii,,checkbox,,"1, b. For a different cancer",,,,,,"[oms2chemoyn] = '1'",,,,,,
oms2radtxyn,other_medical_surgical_treatments_ii,,radio,"2. Did you receive any Radiation Therapy for cancer in the past [oms2timeframe]?","1, Yes | 0, No",,,,,,,,RH,,,,
oms2_dt_2,other_medical_surgical_treatments_ii,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">If yes, choose all that apply:</p></div>",,,,,,,"[oms2radtxyn] = '1'",,,,,,
oms2radtxsame,other_medical_surgical_treatments_ii,,checkbox,,"1, a. For the cancer associated with your thoracic surgery",,,,,,"[oms2radtxyn] = '1'",,,,,,
oms2radtxdiff,other_medical_surgical_treatments_ii,,checkbox,,"1, b. For a different cancer",,,,,,"[oms2radtxyn] = '1'",,,,,,
oms2surgyn,other_medical_surgical_treatments_ii,,radio,"3. In the past [oms2timeframe], have you had any additional significant surgical procedures beyond your thoracic surgery?","1, Yes | 0, No",,,,,,"[event-name]<>""baseline_visit_arm_1""",,RH,,,,
oms2_dt_3,other_medical_surgical_treatments_ii,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: left;"">If yes, choose all that apply:</p></div>",,,,,,,"[oms2surgyn] = '1'",,,,,,
oms2surgrel,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">3.1 Yes, related to my original chest surgery</p></div>","1, Yes | 0, No",,,,,,"[oms2surgyn] = '1'",,RH,,,,
oms2surgunr,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">3.2 Yes, but unrelated to my original chest surgery</p></div>","1, Yes | 0, No",,,,,,"[oms2surgyn] = '1'",,RH,,,,
oms2visityn,other_medical_surgical_treatments_ii,,radio,"4. In the past [oms2timeframe], have you had any non-scheduled visits with your doctor or gone to the hospital for a non-scheduled reason?","1, Yes | 0, No",,,,,,"[event-name]<>""baseline_visit_arm_1""",,RH,,,,
oms2relvisit,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">4.1. Yes, related to my original chest surgery </p></div>","1, Yes | 0, No",,,,,,"[oms2visityn] = '1'",,RH,,,,
oms2relvisited,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Choose all that apply</p></div>","1, Emergency room / Urgent care clinic visit",,,,,,"[oms2relvisit] = '1'",,RH,,,,
oms2relvisitoffice,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Physician office visit",,,,,,"[oms2relvisit] = '1'",,RH,,,,
oms2relvisitother,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Other",,,,,,"[oms2relvisit] = '1'",,RH,,,,
oms2relvisitothertxt,other_medical_surgical_treatments_ii,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Other specify:</p></div>",,,,,,,"[oms2relvisitother(1)] = '1'",,RH,,,,
oms2unrvisit,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">4.2 Yes, but unrelated to my original chest surgery</p></div>","1, Yes | 0, No",,,,,,"[oms2visityn] = '1'",,RH,,,,
oms2unrvisited,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Choose all that apply</p></div>","1, Emergency room / Urgent care clinic visit",,,,,,"[oms2unrvisit] = '1'",,RH,,,,
oms2unrvisitoffice,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Physician office visit",,,,,,"[oms2unrvisit] = '1'",,RH,,,,
